번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"전계 E의 x, y, z 성분을 E , E , E 라 할 때 divE는? x y z",,,,,1,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q001.png
2,"3 가 최대가 되는가? ① P 에 Q , P 에 Q , P 에 Q",,,,,1,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q002.png
3,자성체 경계면에 전류가 없을 때의 경계조건으로 틀린 것은? ① 자계 H의 접선성분 H =H 1T 2T ② 자속밀도 B의 법선성분 B =B 1N 2N ③ 경계면에서 자력선의 굴절 (tanθ /tanθ ) = (μ /μ ),,,,,4,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q003.png
4,도체나 반도체에 전류를 흘리고 이것과 직각방향으로 자계를 가하면 이 두 방향과 직각방향으로 기전력이 생기는 현상을 무엇이라 하는가?,홀 효과,핀치 효과,볼타 효과,압전 효과,1,text,
5,"판자석의 세기가 0.01Wb/m, 반지름이 5cm인 원형 판자석이 있다. 자석의 중심에서 축상 10cm인 점에서의 자위의 세기 는 몇 AT 인가?",100,175,370,420,4,text,
6,평면도체 표면에서 d[m] 거리에 점전하 Q[C]이 있을 때 이 전하를 무한원점까지 운반하는데 필요한 일[J]은? ① Q2 / 4πε d ② Q2 / 8πε d,,,,,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q006.png
7,"유전율 ε, 전계의 세기 E인 유전체의 단위 체적에 축적되는 에너지는?",E / 2ε,εE / 2,εE2 / 2,ε2E2 / 2,3,text,
8,"길이 l[m], 지름 d[m]인 원통이 길이 방향으로 균일하게 자 화되어 자화의 세기가 J[Wb/m2]인 경우 원통 양단에서의 전 자극의 세기[Wb]는?",πd2J,πdJ,4J / πd2,πd2J / 4,4,text,
9,"자기인덕턴스 L , L 와 상호인덕턴스 M사이의 결합계수는?",,,,,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q009.png
10,진공 중에서 선전하 밀도 ρ =6×10-8C/m인 무한히 긴 직선 ㅣ 상 선전하가 x 축과 나란하고 z=2m 점을 지나고 있다. 이 선전하에 의하여 반지름 5m인 원점에 중심을 둔 구표면 S,,,,,4,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q010.png
11,대지면에 높이 h[m]로 평행하게 가설된 매우 긴 선전하가 지면으로부터 받는 힘은?,h에 비례,h에 반비례,h2에 비례,h2에 반비례,2,text,
12,"정전에너지, 전속밀도 및 유전상수 ε 의 관계에 대한 설명중 r 틀린 것은?",굴절각이 큰 유전체는 ε 이 크다. r,동일 전속밀도에서는 ε 이 클수록 정전에너지는 작아진 r 다.,동일 정전에너지에서는 ε 이 클수록 전속밀도가 커진다. r,전속은 매질에 축적되는 에너지가 최대가 되도록 분포 된다.,4,text,
13,"σ=1℧/m, ε =6, μ=μ 인 유전체에 교류전압을 가할 때 변위 s 0 전류와 전도전류의 크기가 같아지는 주파수는 약몇 Hz 인 가?",3.0 × 109,4.2 × 109,4.7 × 109,5.1 × 109,1,text,
14,그 양이 증가함에 따라 무한장 솔레노이드의 자기인덕턴스 값이 증가하지 않는 것은 무엇인가?,철심의 반경,철심의 길이,코일의 권수,철심의 투자율,2,text,
15,"단면적 S[m2], 단위 길이당 권수가 n [회/m]인 무한히 긴",,,,,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q015.png
16,"비투자율 1000인 철심이 든 환상솔레노이드의 권수가 600 회, 평균지름 20cm, 철심의 단면적 10cm2이다. 이 솔레노 이드에 2A의 전류가 흐를 때 철심 내의 자속은 약몇 Wb 인 가?",1.2 × 10-3,1.2 × 10-4,2.4 × 10-3,2.4 × 10-4,3,text,
17,"3개의 점전하 Q =3C, Q =1C, Q =-3C을 점 P (1,0,0),",,,,,1,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q017.png
18,맥스웰의 전자방정식에 대한 의미를 설명한 것으로 틀린것 은?,자계의 회전은 전류밀도와 같다.,"자계는 발산하며, 자극은 단독으로 존재한다.",전계의 회전은 자속밀도의 시간적 감소율과 같다.,단위체적 당 발산 전속 수는 단위체적 당 공간전하 밀도 와 같다.,2,text,
19,전기력선의 설명 중 틀린 것은? ① 전기력선은 부전하에서 시작하여 정전하에서 끝난다. ② 단위 전하에서는 1/ε 개의 전기력선이 출입한다.,,,,,1,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q019.png
20,유전율이 ε=4ε 이고 투자율이 μ 인 비도전성 유전체에서 전,,,,,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q020.png
21,변류기 수리 시 2차측을 단락시키는 이유는?,1차측 과전류 방지,2차측 과전류 방지,1차측 과전압 방지,2차측 과전압 방지,4,text,
22,1년 365일 중 185일은 이 양 이하로 내려가지 않는 유량 은?,평수량,풍수량,고수량,저수량,1,text,
23,배전선의 전압조정장치가 아닌 것은?,승압기,리클로저,유도전압조정기,주상변압기 탭 절환장치,2,text,
24,발전기 또는 주변압기의 내부고장 보호용으로 가장 널리 쓰 이는 것은?,거리계전기,과전류계전기,비율차동계전기,방향단락계전기,3,text,
25,그림과 같은 선로의 등가선간거리는 몇 m인가?,5,5√2,,,3,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q025.png
26,서지파(진행파)가 서지 임피던스 Z 의 선로측에서 서지임피,,,,,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q026.png
27,3상 송전선로에서 선간단락이 발생하였을 때 다음 중 옳은 것은?,역상전류만 흐른다.,정상전류와 역상전류가 흐른다.,역상전류와 영상전류가 흐른다.,정상전류와 영상전류가 흐른다.,2,text,
28,송전계통의 안정도 향상 대책이 아닌 것은?,전압 변동을 적게 한다.,고속도 재폐로 방식을 채용한다.,"고장시간, 고장전류를 적게 한다.",계통의 직렬 리액턴스를 증가시킨다.,4,text,
29,배전선로에 사고범위의 확대를 방지하기 위한 대책으로 적 당하지 않은 것은?,선택접지계전방식 채택,자동고장 검출장치 설치,진상콘덴서 설치하여 전압보상,특고압의 경우 자동구분개폐기 설치,3,text,
30,화력발전소에서 재열기의 사용 목적은?,증기를 가열한다.,공기를 가열한다.,급수를 가열한다.,석탄을 건조한다.,1,text,
31,"송전전력, 송전거리, 전선의 비중 및 전력손실률이 일정하다 고 하면 전선의 단면적 A[mm2]와 송전전압 V[kV]와의 관 계로 옳은 것은?",A ∝ V,A ∝ V2,A ∝ 1/√V,A ∝ 1/V2,4,text,
32,선로에 따라 균일하게 부하가 분포된 선로의 전력손실은 이 들 부하가 선로의 말단에 집중적으로 접속되어 있을 때보다 어떻게 되는가?,1/2로 된다.,1/3로 된다.,2배로 된다.,3배로 된다.,2,text,
33,"반지름 r [m]이고 소도체 간격 S인 4복도체 송전선로에서 전선 A, B, C가 수평으로 배열되어 있다. 등가 선간거리가 D(m)로 배치되고 완전 연가 된 경우 송전선로의 인덕턴스 는 몇 mH/km 인가?",전기기사 2018년 08월 19일 필기 기출문제,,,,4,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q033.png
34,최소 동작 전류 이상의 전류가 흐르면 한도를 넘은 양(量)과 는 상관없이 즉시 동작하는 계전기는?,순한시 계전기,반한시 계전기,정한시 계전기,반한시 정한시 계전기,1,text,
35,최근에 우리나라에서 많이 채용되고 있는 가스절연개폐설비 (GIS)의 특징으로 틀린 것은?,대기 절연을 이용한 것에 비해 현저하게 소형화 할 수 있으나 비교적 고가이다.,소음이 적고 충전부가 완전한 밀폐형으로 되어 있기 때 문에 안정성이 높다.,가스 압력에 대한 엄중 감시가 필요하며 내부 점검 및 부품 교환이 번거롭다.,"한랭지, 산악 지방에서도 액화 방지 및 산화 방지 대책 이 필요 없다.",4,text,
36,송전선로에 복도체를 사용하는 주된 목적은?,인덕턴스를 증가시키기 위하여,정전용량을 감소시키기 위하여,코로나 발생을 감소시키기 위하여,전선 표면의 전위경도를 증가시키기 위하여,3,text,
37,송배전 선로의 전선 굵기를 결정하는 주요 요소가 아닌것 은?,전압강하,허용전류,기계적 강도,부하의 종류,4,text,
38,"기준 선간전압 23kV, 기준 3상 용량 5000kVA, 1선의 유도 리액턴스가 15Ω일 때 %리액턴스는?",28.36%,14.18%,7.09%,3.55%,2,text,
39,망상(Network) 배전방식에 대한 설명으로 옳은 것은?,전압 변동이 대체로 크다.,부하 증가에 대한 융통성이 적다.,방사상 방식보다 무정전 공급의 신뢰도가 더 높다.,인축에 대한 감전사고가 적어서 농촌에 적합하다.,3,text,
40,3상용 차단기의 정격전압은 170kV이고 정격차단전류가 50kA일 때 차단기의 정격차단용량은 약 몇 MVA인가?,5000,10000,15000,20000 3과목 : 전기기기,3,text,
41,3상 직권 정류자전동기에 중간 변압기를 사용하는 이유로 적당하지 않은 것은?,중간 변압기를 이용하여 속도 상승을 억제할 수 있다.,회전자 전압을 정류작용에 맞는 값으로 선정할 수 있다.,중간 변압기를 사용하여 누설 리액턴스를 감소할 수 있 다.,중간 변압기의 권수비를 바꾸어 전동기 특성을 조정할 수 있다.,3,text,
42,변압기의 권수를 N이라고 할 때 누설리액턴스는?,N에 비례한다.,N2에 비례한다.,N에 반비례한다.,N2에 반비례한다.,2,text,
43,직류기의 온도상승 시험 방법 중 반환부하법의 종류가 아닌 것은?,카프법,홉킨슨법,스코트법,블론델법,3,text,
44,단상 직권 정류자전동기에서 보상권선과 저항도선의 작용을 설명한 것으로 틀린 것은?,역률을 좋게 한다.,변압기 기전력을 크게 한다.,전기자 반작용을 감소시킨다.,저항도선은 변압기 기전력에 의한 단락전류를 적게 한 다.,2,text,
45,일반적인 변압기의 손실 중에서 온도상승에 관계가 가장적 은 요소는?,철손,동손,와류손,유전체손,4,text,
46,직류발전기의 병렬 운전에서 부하 분담의 방법은?,계자전류와 무관하다.,계자전류를 증가하면 부하분담은 감소한다.,계자전류를 증가하면 부하분담은 증가한다.,계자전류를 감소하면 부하분담은 증가한다.,3,text,
47,"1차전압 6600V, 2차전압 220V, 주파수 60Hz, 1차권수 1000회의 변압기가 있다. 최대 자속은 약 몇 Wb인가?",0.020,0.025,0.030,0.032,2,text,
48,역률 100% 일 때의 전압 변동률 은 어떻게 표시되는 가?,%저항강하,%리액턴스강하,%서셉턴스강하,%임피던스강하,1,text,
49,3상 농형 유도전동기의 기동방법으로 틀린 것은?,Y-△ 기동,전전압 기동,리액터 기동,2차 저항에 의한 기동,4,text,
50,직류 복권발전기의 병렬운전에 있어 균압선을 붙이는 목적 은 무엇인가?,손실을 경감한다.,운전을 안정하게 한다.,고조파의 발생을 방지한다.,직권계자간의 전류증가를 방지한다. 전기기사 2018년 08월 19일 필기 기출문제,2,text,
51,2방향성 3단자 사이리스터는 어느 것인가?,SCR,SSS,SCS,TRIAC,4,text,
52,"15kVA, 3000/200V 변압기의 1차측 환산 등가 임피던스가 5.4+j6Ω 일 때, %저항강하 p와 %리액턴스강하 q는 각각 약 몇 %인가?","p=0.9, q=1","p=0.7, q=1.2","p=1.2, q=1","p=1.3, q=0.9",1,text,
53,유도전동기의 2차 여자제어법에 대한 설명으로 틀린 것은?,역률을 개선할 수 있다.,권선형 전동기에 한하여 이용된다.,동기속도의 이하로 광범위하게 제어할 수 있다.,2차 저항손이 매우 커지며 효율이 저하된다.,4,text,
54,"직류발전기를 3상 유도전동기에서 구동하고 있다. 이 발전 기에 55kW의 부하를 걸 때 전동기의 전류는 약 몇 A인가? (단, 발전기의 효율은 88%, 전동기의 단자전압은 400V, 전 동기 효율은 88%, 전동기의 역률은 82%로 한다.)",125,225,325,425,1,text,
55,동기기의 기전력의 파형 개선책이 아닌 것은?,단절권,집중권,공극조정,자극모양,2,image,C:\전기CBT\out_img\전기기사20180819(교사용)_p07_q055.png
56,유도자형 동기발전기의 설명으로 옳은 것은?,전기자만 고정되어 있다.,계자극만 고정되어 있다.,회전자가 없는 특수 발전기이다.,계자극과 전기자가 고정되어 있다.,4,text,
57,"200V, 10kW의 직류 분권전동기가 있다. 전기자저항은 0.2 Ω, 계자저항은 40Ω이고 정격전압에서 전류가 15A인 경우 5kgㆍm의 토크를 발생한다. 부하가 증가하여 전류가 25A로 되는 경우 발생토크[kgㆍm]는?",2.5,5,7.5,10,4,text,
