번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,전기력선의 성질에 대한 설명으로 옳은 것은?,전기력선은 등전위면과 평행하다.,전기력선은 도체 표면과 직교한다.,전기력선은 도체 내부에 존재할 수 있다.,전기력선은 전위가 낮은 점에서 높은 점으로 향한다.,2,text,
2,"유전율 ε, 전계의 세기 E인 유전체의 단위 체적당 축적되는 정전에너지는?",E/2ε,εE/2,εE2/2,ɛ2E2/2,3,text,
3,와전류가 이용되고 있는 것은?,수중 음파 탐지기,레이더,자기 브레이크(magnetic brake),사이클로트론 (cyclotron),3,text,
4,"전계 (V/m)에서 점(3,5)m를 통과하는 전기력선의 방정식은? (단, 는 단위벡터이다.)",x2+y2=12,y2-x2=12,x2+y2=16,y2-x2=16,4,text,
5,"단면적이 균일한 환상철심에 권수 N 인 A코일과 권수 N 인 A B B코일이 있을 때, B코일의 자기 인덕턴스가 L (H)라면 두 A 코일의 상호 인덕턴스(H)는? (단, 누설자속은 0이다.)",L N /N,L N /N A A B A B A,N /L N,N /L N A A B B A A,1,text,
6,평등자계와 직각방향으로 일정한 속도로 발사된 전자의 원 운동에 관한 설명으로 옳은 것은?,플레밍의 오른손법칙에 의한 로렌츠의 힘과 원심력의 평 형 원운동이다.,원의 반지름은 전자의 발사속도와 전계의 세기의 곱에 반비례한다.,전자의 원운동 주기는 전자의 발사 속도와 무관하다.,전자의 원운동 주파수는 전자의 질량에 비례한다.,3,text,
7,"전계 E(V/m)가 두 유전체의 경계면에 평행으로 작용하는 경우 경계면에 단위면적당 작용하는 힘의 크기는 몇 N/m2 인가? (단, ɛ1, ɛ2는 각 유전체의 유전율이다.) ① f=E2(ɛ -ɛ ) ②",,,,,3,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q007.png
8,"진공 중의 평등자계 H 중에 반지름이 a(m)이고, 투자율이",,,,,3,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q008.png
9,"진공 중에 서로 떨어져 있는 두 도체 A, B가 있다. 도체 A 에만 1C의 전하를 줄 때, 도체 A, B의 전위가 각각 3V, 2V 이었다. 지금 도체 A, B에 각각 1C과 2C의 전하를 주면 도 체 A의 전위는 몇 V인가?",6,7,8,9,2,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q009.png
10,진공 중에 놓인 Q(C)의 전하에서 발산되는 전기력선의 수 는? ① Q ② ɛ,,,,,3,image,C:\전기CBT\out_img\전기기사20210515(교사용)_p08_q010.png
11,비투자율이 50인 환상 철심을 이용하여 100cm 길이의 자 기회로를 구성할 때 자기저항을 2.0×107AT/Wb 이하로 하 기 위해서는 철심의 단면적을 약 몇 m2이상으로 하여야 하는가?,3.6×10-4,6.4×10-4,8.0×10-4,9.2×10-4,3,text,
