번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"도전도 k=6×1017℧m, 투자율 인 평면도체 표면에 10kHz의 전류가 흐를 때, 침투깊이 δ(m) 은?",,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q001.png
2,최대로 되는 변압기의 권수비 a는?,√5,√10,5,10,2,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q002.png
3,"송전선의 전류가 0.01초 사이에 10kA 변화될 때 이 송전선 에 나란한 통신선에 유도되는 유도 전압은 몇 V인가? (단, 송전선과 통신선 간의 상호유도계수는 0.3mH이다.)",30,300,3000,30000,2,text,
4,단면적 15cm2의 자석 근처에 같은 단면적을 가진 철편을 놓을 때 그 곳을 통하는 자속이 3×10-4Wb이면 철편에 작 용하는 흡인력은 약 몇 N 인가?,12.2,23.9,36.6,48.8,2,text,
5,"단면적이 s(m2), 단위 길이에 대한 권수가 n(회/m)인 무한 히 긴 솔레노이드의 단위 길이당 자기인덕턴스(H/m)는?",μ·s·n,μ·s·n2,μ·s2·n,μ·s2·n2,2,text,
6,다음 금속 중 저항률이 가장 작은 것은?,은,철,백금,알루미늄,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q006.png
7,무한장 직선형 도선에 I(A)의 전류가 흐를 경우 도선으로부 터 R(m) 떨어진 점의 자속밀도 B(Wb/m2)는?,,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q007.png
8,"전하 q(C)가 진공 중의 자계 H(AT/m)에 수직방향으로 v(m/s)의 속도로 움직일 때 받는 힘은 몇 N인가? (단, 진 공 중의 투자율은 μ 이다.) o",qvH,μ qH o,πqvH,μ qvH o,4,text,
9,원통 좌표계에서 일반적으로 벡터가 A = 5r sinøa 로 표현 z 될 때 점 에서 curlA를 구하면?,5a,5πa r ø,-5a,-5πa ø ø,3,text,
10,전기 저항에 대한 설명으로 틀린 것은?,저항의 단위는 옴(Ω)을 사용한다.,저항률(ρ)의 역수를 도전율이라고 한다.,금속선의 저항 R은 길이 ℓ에 반비례한다.,전류가 흐르고 있는 금속선에 있어서 임의 두 점간의 전위차는 전류에 비례한다.,3,text,
11,자계의 벡터포텐셜을 A라 할 때 자계의 시간적 변화에 의 하여 생기는 전계의 세기 E는?,E = rot A,rot E = A,,,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q011.png
12,"환상철심의 평균 자계의 세기가 3000AT/m이고, 비투자율 이 600인 철심 중의 자화의 세기는 약 몇 Wb/m2 인가?",0.75,2.26,4.52,9.04,2,text,
13,"평행판 콘덴서의 극간 전압이 일정한 상태에서 극간에 공 기가 있을 때의 흡인력을 F , 극판 사이에 극판 간격의",,,,,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q013.png
14,전자파의 특성에 대한 설명으로 틀린 것은?,전자파의 속도는 주파수와 무관하다.,전파 E 를 고유임피던스로 나누면 자파 H 가 된다. x y,전파 E 와 자파 H 의 진동방향은 진행 방향에 수평인 x y 종파이다.,매질이 도전성을 갖지 않으면 전파 E 와 자파 H 는 동 x y 위상이 된다.,3,text,
15,"진공 중에서 점 P(1, 2, 3) 및 점 Q(2, 0, 5)에 각각 300μ C, -100μC인 점전하가 놓여 있을 때 점전하 -100μC에 작용하는 힘은 몇 N인가?",10i – 20j + 20k,10i + 20j - 20k,-10i + 20j + 20k,-10i + 20j - 20k,4,text,
16,반지름 a(m)의 구 도체에 전하 Q(C)가 주어질 때 구 도체 표면에 작용하는 정전응력은 몇 N/m2인가?,,,,,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q016.png
17,"정전용량이 각각 C , C , 그 사이의 상호 유도계수가 M인",,,,,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q017.png
18,"길이 ℓ(m)인 동축 원통 도체의 내외원통에 각각 +λ, -λ (C/m)의 전하가 분포되어 있다. 내외원통 사이에 유전율 ε인 유전체가 채워져 있을 때, 전계의 세기(V/m)은? (단, V는 내외원통 간의 전위차, D는 전속밀도이고, a, b는 내 외원통의 반지름이며, 원통 중심에서의 거리 r은 a ＜ r ＜ b인 경우이다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q018.png
19,"정전용량이 1μF 이고 판의 간격이 d인 공기콘덴서가 있 다. 두께 , 비유전율 ε =2 유전체를 그 콘덴서의 r 한 전극면에 접촉하여 넣었을 때 전체의 정전용량(μF)은?",2,1/2,4/3,5/3,3,text,
20,변위전류와 가장 관계가 깊은 것은?,도체,반도체,유전체,자성체 2과목 : 전력공학,3,text,
21,"역률 80%, 500kVA의 부하설비에 100kVA의 진상용 콘덴 서를 설치하여 역률을 개선하면 수전점에서의 부하는 약 몇 kVA가 되는가?",400,425,450,475,3,text,
22,가공지선에 대한 설명 중 틀린 것은?,유도뢰 서지에 대하여도 그 가설구간 전체에 사고방지 의 효과가 있다.,직격뢰에 대하여 특히 유효하며 탑 상부에 시설하므로 뇌는 주로 가공지선에 내습한다.,송전선의 1선 지락 시 지락전류의 일부가 가공지선에 흘러 차폐작용을 하므로 전자유도장해를 적게 할 수 있다.,가공지선 때문에 송전선로의 대지정전용량이 감소하므 로 대지사이에 방전할 때 유도전압이 특히 커서 차폐 효과가 좋다.,4,text,
23,부하전류의 차단에 사용되지 않는 것은?,DS,ACB,OCB,VCB,1,text,
24,플리커 경감을 위한 전력 공급측의 방안이 아닌 것은?,공급전압을 낮춘다.,전용 변압기로 공급한다.,단독 공급계통을 구성한다.,단락용량이 큰 계통에서 공급한다.,1,text,
25,"3상 무부하 발전기의 1선 지락 고장 시에 흐르는 지락 전 류는? (단, E는 접지된 상의 무부하 기전력이고, Z , Z ,",,,,,3,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q025.png
26,수력발전소의 분류 중 낙차를 얻는 방법에 의한 분류 방법 이 아닌 것은?,댐식 발전소,수로식 발전소,양수식 발전소,유역 변경식 발전소,3,text,
27,변성기의 정격부담을 표시하는 단위는?,W,S,dyne,VA,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q027.png
28,원자로에서 중성자가 원자로 외부로 유출되어 인체에 위험 을 주는 것을 방지하고 방열의 효과를 주기 위한 것은?,제어재,차폐재,반사체,구조재,2,text,
29,연가에 의한 효과가 아닌 것은?,직렬공진의 방지,대지정전용량의 감소,통신선의 유도장해 감소,선로정수의 평형,2,text,
30,각 전력계통을 연계선으로 상호 연결하였을 때 장점으로 틀린 것은?,건설비 및 운전경비를 절감하므로 경제급전이 용이하 다.,주파수의 변화가 작아진다.,각 전력계통의 신뢰도가 증가된다.,선로 임피던스가 증가되어 단락전류가 감소된다.,4,text,
31,전압요소가 필요한 계전기가 아닌 것은?,주파수 계전기,동기탈조 계전기,지락 과전류 계전기,방향성 지락 과전류 계전기,3,text,
32,수력발전설비에서 흡출관을 사용하는 목적으로 옳은 것은?,압력을 줄이기 위하여,유효낙차를 늘리기 위하여,속도변동률을 적게 하기 위하여 전기기사 2019년 08월 04일 필기 기출문제,물의 유선을 일정하게 하기 위하여,2,text,
33,인터록(interlock)의 기능에 대한 설명으로 옳은 것은??,조작자의 의중에 따라 개폐되어야 한다.,차단기가 열려 있어야 단로기를 닫을 수 있다.,차단기가 닫혀 있어야 단로기를 닫을 수 있다.,"차단기와 단로기를 별도로 닫고, 열 수 있어야 한다.",2,text,
34,같은 선로와 같은 부하에서 교류 단상 3선식은 단상 2선 식에 비하여 전압강하와 배전효율이 어떻게 되는가?,"전압강하는 적고, 배전효율은 높다.","전압강하는 크고, 배전효율은 낮다.","전압강하는 적고, 배전효율은 낮다.","전압강하는 크고, 배전효율은 높다.",1,text,
35,전력 원선도에서는 알 수 없는 것은?,송수전할 수 있는 최대전력,선로 손실,수전단 역률,코로나손,4,image,C:\전기CBT\out_img\전기기사20190804(교사용)_p08_q035.png
