번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"원통 좌표계에서 전류밀도 j=Kr2a [A/m2]일 때 암페어의 법 z 칙을 사용한 자계의 세기 H[AT/m]는? (단, K는 상수이다.)",,,,,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q001.png
2,최대 정전용량 C [F]인 그림과 같은 콘덴서의 정전용량이 각,,,,,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q002.png
3,"내부도체 반지름이 10mm, 외부도체의 내반지름이 20mm인 동축케이블에서 내부도체 표면에 전류 I가 흐르고, 얇은 외부 도체에 반대 방향인 전류가 흐를 때 단위 길이당 외부 인덕 턴스는 약 몇 H/m인가?",0.27×10-7,1.39×10-7,2.03×10-7,2.78×10-7,2,text,
4,무한 평면에 일정한 전류가 표면에 한 방향으로 흐르고 있다. 평면으로부터 r만큼 떨어진 점과 2r만큼 떨어진 점과의 자계 의 비는 얼마인가?,1,√2,2,4,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q004.png
5,"어떤 공간의 비유전율은 2이고, 전위 이라고 할 때 점 (1/2,2)에서의 전하 밀도 p는 약 몇 pC/m3인가?",-20,-40,-160,-320,4,text,
6,"그림과 같은 히스테리시스 루프를 가진 철심이 강한 평등자 계에 의해 매초 60Hz로 자화할 경우 히스테리시스 손실은 몇 W인가? (단, 철심의 체적은 20cm3,B =5Wb/m2, H =2AT/m t C 이다.)",1.2×10-2,2.4×10-2,3.6×10-2,4.8×10-2,4,text,
7,그림과 같이 직각 코일이 인 자계에 위치하고 있다. 코일에 5A 전류가 흐를 때 z축에서의 토크는 약 몇 N ㆍ m 인가?,2.66×10-4a,5.66×10-4a x x,2.66×10-4a,5.66×10-4a z z,4,text,
8,그림과 같이 무한평면 도체 앞 a[m] 거리에 점전하 Q[C]가 있다. 점 0에서 x[m]인 P점의 전하밀도 σ[C/m2]는?,,,,,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q008.png
9,유전율 ℇ=8.855×10-12[F/m]인 진공 중을 전자파가 전파할 때 진공 중의 투자율[H/m]은?,7.58×10-5,7.58×10-7,12.56×10-5,12.56×10-7,4,text,
10,막대자석 위쪽에 동축 도체 원판을 놓고 회로의 한 끝은 원 판의 주변에 접촉시켜 회전하도록 해 놓은 그림과 같은 패 러데이 원판 실험을 할 때 검류계에 전류가 흐르지 않는 경 우는? 전기기사 2017년 05월 07일 필기 기출문제,자석만을 일정한 방향으로 회전시킬 때,원판만을 일정한 방향으로 회전시킬 때,자석을 축 방향으로 전진시킨 후 후퇴시킬 때,"원판과 자석을 동시에 같은 방향, 같은 속도로 회전시킬 때",4,text,
11,"점전하에 의한 전계의 세기[V/m]를 나타내는 식은? (단, r 은 거리, Q는 전하량, λ는 선전하 밀도, σ는 표면전하 밀도 이다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q011.png
12,"유전율 ℇ, 투자율 μ인 매질에서의 전파속도 v는?",,,,,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q012.png
13,"전계 E[V/m], 전속밀도 D[C/m2], 유전율 ℇ=ℇ ℇ [F/m],",,,,,2,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q013.png
14,서로 결합하고 있는 두 코일 C 과 C 의 자기인덕턴스가 각,,,,,4,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q014.png
15,정전용량이 C [F]인 평행판 공기 콘덴서가 있다. 이것의 극,,,,,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q015.png
16,"벡터 포텐샬 일 때의 자계의 세기 H[A/m]는? (단, μ는 투자율이라 한다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q016.png
17,자기회로에서 자기 저항의 관계로 옳은 것은?,자기회로의 길이에 비례,자기회로의 단면적에 비례,자성체의 비투자율에 비례,자성체의 비투자율의 제곱에 비례,1,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q017.png
18,그림과 같은 길이가 1m인 동축 원통 사이의 정전용량 [F/m]]은?,,,,문제오류로 보기가 없습니다.,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q018.png
19,"철심이 든 환상 솔레노이드의 권수는 500회, 평균 반지름은 10㎝, 철심의 단면적은 10cm2, 비투자율 4000이다. 이 환 상 솔레노이드에 2A의 전류를 흘릴 때, 철심 내의 자속 [Wb]은?",4×10-3,4×10-4,8×10-3,8×10-4 전기기사 2017년 05월 07일 필기 기출문제,3,text,
20,그림과 같은 정방형관 단면의 격자점 ⑥의 전위를 반복법으 로 구하면 약 몇 V 인가?,6.3,9.4,18.8,53.2 2과목 : 전력공학,2,text,
21,동기조상기[A]와 전력용 콘덴서[B]를 비교한 것으로 옳은 것은?,"시충전 : (A) 불가능, (B) 가능","전력 손실 : (A) 작다, (B) 크다","무효전력 조정 : (A) 계단적, (B) 연속적","무효전력 : (A) 진상·지상용, (B) 진상용",4,text,
22,"어떤 공장의 소모 전력이 100kW이며, 이 부하의 역률이 0.6일 때, 역률을 0.9로 개선하기 위한 전력용 콘덴서의 용 량은 약 몇 kVA인가?",75,80,85,90,3,image,C:\전기CBT\out_img\전기기사20170507(교사용)_p08_q022.png
23,수력 발전소에서 사용되는 수차 중 15m 이하의 저낙차에 적합하여 조력 발전용으로 알맞은 수차는?,카플란 수차,펠톤 수차,프란시스 수차,튜블러 수차,4,text,
