번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,평면도체 표면에서 r[m]의 거리에 점전하 Q[C]이 있을 때 이 전하를 무한원까지 운반하는데 필요한 일은 몇 J 인가?,,,,,3,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q001.png
2,역자성체에서 비투자율(㎲)은 어느 값을 갖는가?,㎲=1,㎲＜1,㎲＞1,㎲=0,2,text,
3,"비유전율 Є , Є 인 두 유전체가 나란히 무한평면으로 접하 r1 r2 고 있고, 이 경계면에 평행으로 유전체의 비유전율 Є 내에 r1 경계면으로부터 d[m]인 위치에 선전하 밀도 ρ[C/m]인 선상 전하가 있을 때, 이 선전하와 유전체 Є 간의 단위 길이당의 r2 작용력은 몇 N/m인가?",,,,,3,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q003.png
4,점전하에 의한 전계는 쿨롱의 법칙을 사용하면 되지만 분포 되어 있는 전하에 의한 전계를 구할 때는 무엇을 이용하는 가?,렌츠의 법칙,가우스의 정리,라플라스 방정식,스토크스의 정리,2,text,
5,패러데이관(Faraday tube)의 성질에 대한 설명으로 틀린 것 은?,패러데이관 중에 있는 전속수는 그 관속에 진전하가 없으 면 일정하며 연속적이다.,패러데이관의 양단에는 양 또는 음의 단위 진전하가 존재 하고 있다.,패러데이관 한 개의 단위 전위차 당 보유에너지는 1/2J이 다.,패러데이관의 밀도는 전속밀도와 같지 않다.,4,text,
6,① SF 가스 자체는 불활성 기체이다.,,,,,3,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q006.png
7,"유전율이 Є , Є [F/m]인 유전체 경계면에 단위면적당 작용",,,,,4,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q007.png
8,"진공 중에 균일하게 대전된 반지름 a[m]인 선전하 밀도 λ [C/m]의 원환이 있을 때, 그 중심으로부터 중심축상 x[m]의 l 거리에 있는 점의 전계의 세기는 몇 V/m 인가?",,,,,1,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q008.png
9,"내압 1000V 정전용량 1㎌, 내압 750V 정전용량 2㎌, 내압 500V 정전용량 5㎌인 콘덴서 3개를 직렬로 접속하고 인가전 압을 서서히 높이면 최초로 파괴되는 콘덴서는?",1㎌,2㎌,5㎌,동시에 파괴된다.,1,text,
10,내부장치 또는 공간을 물질로 포위시켜 외부자계의 영향을 차폐시키는 방식을 자기차폐라 한다. 다음 중 자기차폐에 가장 좋은 것은?,비투자율이 1보다 작은 역자성체,강자성체 중에서 비투자율이 큰 물질,강자성체 중에서 비투자율이 작은 물질,비투자율에 관계없이 물질의 두께에만 관계되므로 되도 록 두꺼운 물질,2,text,
11,"40V/m인 전계 내의 50V되는 점에서 1C의 전하가 전계 방 향으로 80㎝ 이동 하였을 때, 그 점의 전위는 몇 V 인가?",18,22,35,65,1,image,C:\전기CBT\out_img\전기기사20180304(교사용)_p08_q011.png
12,그림과 같이 반지름 a[m]의 한번 감긴 원형코일이 균일한 자속밀도 B[Wb/m2]인 자계에 놓여 있다. 지금 코일 면을 자계와 나란하게 전류 I[A]를 흘리면 원형코일이 자계로부 터 받는 회전 모멘트는 몇 Nm/rad 인가? 전기기사 2018년 03월 04일 필기 기출문제,πaBI,2πaBI,πa2BI,2πa2BI,3,text,
