번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"매질 1의 μ =500, 매질 2의 μ =1000 이다. 매질 2에서 경 σ1 σ2 계면에 대하여 45°각도로 자계가 입사한 경우 매질 1에서 경 계면과 자계의 각도에 가장 가까운 것은?",20°,30°,60°,80°,3,text,
2,"2 x y －40a V/m 일 때, 유전율 ε 인 영역에서의 전계 E (V/m) z 1 1 은?",,20a +90a -40a x y z,100a +10a -40a,60a +30a -40a x y z x y z 2과목 : 전력공학,2,text,
3,히스테리시스 곡선에서 히스테리시스 손실에 해당하는 것은?,보자력의 크기,잔류자기의 크기,보자력과 잔류자기의 곱,히스테리시스 곡선의 면적,4,text,
4,"다음 (가), (나)에 대한 법칙을 알맞은 것은?",(가) 패러데이의 법칙 (나) 렌츠의 법칙,(가) 렌츠의 법칙 (나) 패러데이의 법칙,(가) 플레밍의 왼손법칙 (나) 패러데이의 법칙,(가) 패러데이의 법칙 (나) 플레밍의 왼손법칙,1,text,
5,"N회 감긴 환상코일의 단면적이 S(m2)]이고 평균 길이가 l(m) 이다. 이 코일의 권수를 2배로 늘이고 인덕턴스를 일정하게 하려고 할 때, 다음 중 옳은 것은?",길이를 2배로 한다.,단면적을 1/4로 한다.,비투자율을 1/2로 한다.,전류의 세기를 4배로 한다.,2,text,
6,무한장 솔레노이드에 전류가 흐를 때 발생되는 자장에 관한 설명으로 옳은 것은?,내부 자장은 평등자장이다.,외부 자장은 평등자장이다.,내부 자장의 세기는 0이다.,외부와 내부의 자장의 세기는 같다.,1,text,
7,"자기회로에서 키르히호프의 법칙으로 알맞은 것은?(단, R : 자기저항, φ : 자속, N : 코일 권수, I : 전류이다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20180428(교사용)_p08_q007.png
8,전하밀도 ρs(C/m2)인 무한 판상 전하분포에 의한 임의 점의 전장에 대하여 틀린 것은?,전장의 세기는 매질에 따라 변한다.,전장의 세기는 거리 r에 반비례한다.,전장은 판에 수직방향으로만 존재한다.,전장의 세기는 전하밀도 ρs에 비례한다.,2,text,
9,한 변의 길이가 l(m)인 정사각형 도체 회로에 전류 I(A)를 흘 릴 때 회로의 중심점에서 자계의 세기는 몇 AT/m 인가?,,,,,4,image,C:\전기CBT\out_img\전기기사20180428(교사용)_p08_q009.png
10,"반지름 a(m)의 원형 단면을 가진 도선에 전도전류 ic=Icsin2πft (A)가 흐를 때 변위전위 밀도의 최대값 Jd는 몇 A/m2가 되는가? (단, 도전율은 σ(S/m)이고, 비유전율은 ε 이다.) r",,,,,4,image,C:\전기CBT\out_img\전기기사20180428(교사용)_p08_q010.png
