번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,평등 전계 중에 유전체 구에 의한 전속 분포가 그림과 같이 되었을 때 ε 과 ε 의 크기 관계는?,,,,,1,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q001.png
2,1 2 1 ③ ④,,,,,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q002.png
3,정상전류계에서 ∇ · i = 0에 대한 설명으로 틀린 것은?,도체 내에 흐르는 전류는 연속이다.,도체 내에 흐르는 전류는 일정하다.,단위 시간당 전하의 변화가 없다.,도체 내에 전류가 흐르지 않는다.,4,text,
4,"진공 내의 점 (2, 2, 2)에 10-9의 전하가 놓여 있다. 점 (2, 5, 6)에서의 전계 E는 약 몇 [V/m]인가? (단, a , a 는 단 y z 위벡터이다.)",0.278a + 2.888a,0.216a + 0.288a y z y z,0.288a + 0.216a,0.291a + 0.288a y z y z,2,text,
5,방송국 안테나 출력이 W[W]이고 이로부터 진공 중에 r[m] 떨어진 점에서 자계의 세기의 실효치는 약 몇 [A/m]인가?,,,,,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q005.png
6,"반지름이 a[m]인 원형 도선 2개의 루프가 z축 상에 그림과 같이 놓인 경우 I[A]의 전류가 흐를 때 원형전류 중심축상 의 자계 H[A/m]는? (단, a , a 는 단위벡터이다.) z ø",,,,,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q006.png
7,직교하는 무한 평판도체와 점전하에 의한 영상전하는 몇 개 존재하는가?,2,3,4,5,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q007.png
8,"전하 e[C], 질량 m[kg]인 전자가 전계 E[V/m] 내에 놓여 있을 때 최초에 정지하고 있었다면 t초 후에 전자의 속도 [m/s]는?",,,,,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q008.png
9,"그림과 같은 환상 솔레노이드 내의 철심 중심에서의 자계의 세기 H[AT/m]는? (단, 환상 철심의 평균 반지름은 r[m], 코일의 권수는 N회, 코일에 흐르는 전류는 I[A]이다.)",,,,,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q009.png
10,"환상 솔레노이드 단면적이 S, 평균 반지름이 r, 권선수가 전기기사 2021년 03월 07일 필기 기출문제 N이고 누설자속이 없는 경우 자기 인덕턴스의 크기는?",권선수 및 단면적에 비례한다.,권선수의 제곱 및 단면적에 비례한다.,권선수의 제곱 및 평균 반지름에 비례한다.,권선수의 제곱에 비례하고 단면적에 반비례한다.,2,text,
11,다음 중 비투자율(μ )이 가장 큰 것은? r,금,은,구리,니켈,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q011.png
12,한 변의 길이가 l[m]인 정사각형 도체에 전류 I[A]가 흐르 고 있을 때 중심점 P에서의 자계의 세기는 몇 [A/m]인가?,,,,,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q012.png
13,간격이 3[cm]이고 면적이 30[cm2]인 평판의 공기 콘덴서 에 220[V]의 전압을 가하면 두 판 사이에 작용하는 힘은 약 몇 [N]인가?,6.3 × 10-6,7.14 × 10-7,8 × 10-5,5.75 × 10-4,2,text,
14,"비유전율이 2이고, 비투자율이 2인 매질 내에서의 전자파 의 전파속도 v[m/s]와 진공 중의 빛의 속도 v [m/s] 사이",,,,,1,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q014.png
15,영구자석의 재료로 적합한 것은?,"잔류 자속밀도(B )는 크고, 보자력(H )은 작아야 한다. r c","잔류 자속밀도(B )는 작고, 보자력(H )은 커야 한다. r c",잔류 자속밀도(B )와 보자력(H ) 모두 작야야 한다. r c,잔류 자속밀도(B )와 보자력(H ) 모두 커야 한다. r c,4,text,
16,"전계 E[V/m], 전속밀도 D[C/m2], 유전율 ε = ε ε",,,,,2,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q016.png
17,동일한 금속 도선의 두 점 사이에 온도차를 주고 전류를 흘렸을 때 열의 발생 또는 흡수가 일어나는 현상은?,펠티에(Peltier) 효과,볼타(Volta) 효과,제백(Seebeck) 효과,톰슨(Thomson) 효과,4,text,
18,강자성체가 아닌 것은?,코발트,니켈,철,구리,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q018.png
19,"내구의 반지름이 2cm, 외구의 반지름이 3cm인 동심 구 도체 간의 고유저항이 1.884 ×102 Ω·m인 저항 물질로 채 어져 있을 때, 내외구 간의 합성 저항은 약 몇 Ω인가?",2.5,5.0,250,500,3,text,
20,"비투자율 μ = 800, 원형 단면적이 S = 10cm2, 평균 자로 r 길이 l = 16π × 10-2(m)의 환상 철심에 600회의 코일을 감고 이 코일에 1A의 전류를 흘리면 환상 철심 내부의 자 속은 몇 Wb인가?",1.2 × 10-3,1.2 × 10-5,2.4 × 10-3,2.4 × 10-5 2과목 : 전력공학,1,text,
21,그림과 같은 유황곡선을 가진 수력지점에서 최대사용수량 0C로 1년간 계속 발전하는 데 필요한 저수지의 용량은?,면적 0CPBA,면적 0CDBA,면적 DEB,면적 PCD,3,text,
22,고장전류의 크기가 커질수록 동작시간이 짧게 되는 특성을 가진 계전기는?,순한시 계전기,정한시 계전기,반한시 계전기,반한시 정한시 계전기,3,text,
23,접지봉으로 탑각의 접지저항값을 희망하는 접지저항 값까 지 줄일 수 없을 때 사용하는 것은?,가공지선,매설지선,크로스본드선,차폐선,2,text,
24,"3상 3선식 송전선에서 한 선의 저항이 10Ω, 리액턴스가 20Ω이며, 수전단의 선간전압이 60kV, 부하역률이 0.8인 경우에 전압강하율이 10%라 하면 이송전선로로는 약 몇 kW 까지 수전할 수 있는가? 전기기사 2021년 03월 07일 필기 기출문제","10,000","12,000","14,400","18,000",3,text,
25,배전선로의 주상변압기에서 고압측-저압측에 주로 사용되 는 보호장치의 조합으로 적합한 것은?,"고압측 : 컷아웃 스위치, 저압측 : 캐치홀더","고압측 : 캐치홀더, 저압측 : 컷아웃 스위치","고압측 : 리클로저, 저압측 : 라인퓨즈","고압측 : 라인퓨즈, 저압측 : 리클로저",1,text,
26,% 임피던스에 대한 설명으로 틀린 것은?,단위를 갖지 않는다.,절대량이 아닌 기준량에 대한 비를 나타낸 것이다.,기기 용량의 크기와 관계없이 일정한 범위의 값을 갖는 다.,변압기나 동기기의 내부 임피던스에만 사용할 수 있다.,4,text,
27,"연료의 발열량이 430kcal/kg일 때, 화력발전소의 열효율 (%)은? (단, 발전기 출력은 P [kW], 시간당 연료의 소비 G 량은 B[kg/h]이다.)",,,,,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q027.png
28,수용가의 수용률을 나타낸 식은?,,,,,4,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q028.png
29,화력발전소에서 증기 및 급수가 흐르는 순서는?,절탄기 → 보일러 → 과열기 → 터빈 → 복수기,보일러 → 절탄기 → 과열기 → 터빈 → 복수기,보일러 → 과열기 → 절탄기 → 터빈 → 복수기,절탄기 → 과열기 → 보일러 → 터빈 → 복수기,1,text,
30,"역률 0.8, 출력 320[kW]인 부하에 전력을 공급하는 변전 소에 역률 개선을 위해 전력용 콘덴서 140[kVA]를 설치했 을 때 합성역률은?",0.93,0.95,0.97,0.99,2,text,
31,"용량 20[kVA]인 단상 주상 변압기에 걸리는 하루 동안의 부하가 처음 14시간 동안은 20[kW], 다음 10시간 동안은 10[kW]일 때, 이 변압기에 의한 하루 동안의 손실량[Wh] 은? (단, 부하의 역률은 1로 가정하고, 변압기의 전 부하 동손은 300[W], 철손은 100[W]이다.)","6,850","7,200","7,350","7,800",3,text,
32,"통신선과 평행인 주파수 60[Hz]의 3상 1회선 송전선이 있 다. 1선 지락 때문에 영상전류가 100[A] 흐르고 있다면 통신선에 유도되는 전자유도전압[V]은 약 얼마인가? (단, 영상전류는 전 전선에 걸쳐서 같으며, 송전선과 통신선과 의 상호 인덕턴스는 0.06[mH/km], 그 평행 길이는 40[km]이다.)",156.6,162.8,230.2,271.4,4,text,
33,"케이블 단선사고에 의한 고장점까지의 거리를 정전용량 측 정법으로 구하는 경우, 건전상의 정전용량이 C, 고장점까 지의 정전용량이 C , 케이블의 길이가 l일 때 고장점까지의 x 거리를 나타내는 식으로 알맞은 것은?",,,,,3,image,C:\전기CBT\out_img\전기기사20210307(교사용)_p09_q033.png
