번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,자기 모멘트 9.8×10-5[Wb ㆍ m]의 막대자석을 지구자계의 수평성분 10.5[AT/m]인 곳에서 지자기 자오면으로부터 90° 회전시키는데 필요한 일은 약 몇 [J]인가?,1.03 × 10-3,1.03 × 10-5,9.03 × 10-3,9.03 × 10-5,1,text,
2,"두 종류의 유전율 을 가진 유전체 경계면에 진전 하가 존재하지 않을 때 성립하는 경계조건을 옳게 나타낸 것 은? (단, θ ,θ 는 각각 유전체 경계면의 법선 벡터와 E ,E 가",,,,,3,image,C:\전기CBT\out_img\전기기사20160508(교사용)_p08_q002.png
3,무한히 넓은 두 장의 평면판 도체를 간격 d[m]로 평행하게 배치하고 각각의 평면판에 면전하 밀도 로 분 포되어 있는 경우 전기력선은 면에 수직으로 나와 평행하게 발산한다. 이 평면판 내부의 전계의 세기는 몇 [V/m]인가?,,,,,1,image,C:\전기CBT\out_img\전기기사20160508(교사용)_p08_q003.png
4,"단면적 S[m2], 단위 길이당 권수가 n 인 무한히 긴 솔레노이",,,,,2,image,C:\전기CBT\out_img\전기기사20160508(교사용)_p08_q004.png
5,평행판 콘덴서에 어떤 유전체를 넣었을 때 전속밀도가 4.8×10-7[C/m2]이고 단위 체적당 정전 에너지가 5.3×10-3[J/m3]이었다. 이 유전체의 유전율은 몇 [F/m]인 가?,1.15 × 10-11,2.17 × 10-11,3.19 × 10-11,4.21 × 10-11,2,text,
6,"자유공간 중에 x=2, z=4인 무한장 직선상에 P [C/m]인 균일 L 한 선전하가 있다. 점(0, 0, 4)의 전계 E[V/m]는?",,,,,1,image,C:\전기CBT\out_img\전기기사20160508(교사용)_p08_q006.png
7,전자파의 특성에 대한 설명으로 틀린 것은?,전자파의 속도는 주파수와 무관하다.,전파 E 를 고유 임피던스로 나누면 자파 H 가 된다. x y,전파 E 와 자파 H 의 진동방향은 진행 방향에 수평인 종 x y 파이다.,매질이 도전성을 갖지 않으면 전파 E 와 자파 H 는 동위 x y 상이 된다.,3,text,
8,전위 V=3xy＋z＋4일 때 전계 E는?,i3x ＋ i3y ＋ k,-i3y + i3x + k,i3x - j3y - k,-i3y - j3x - k,4,text,
9,"쌍극자 모멘트가 M[C ㆍ m]인 전기쌍극자에서 점 P의 전계 는 에서 어떻게 되는가? (단,θ 는 전기 쌍극자의 중심에서 축 방향과 점 P를 잇는 선분의 사이각이다.)",0,최소,최대,-∞,2,image,C:\전기CBT\out_img\전기기사20160508(교사용)_p08_q009.png
10,감자력이 0인 것은?,구 자성체,환상 철심,타원 자성체,굵고 짧은 막대 자성체,2,text,
