번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"ε = 81, μ = 1 인 매질의 고유 임피던스는 약 몇 Ω 인가? r r (단, ε 은 비유전율이고, μ 은 비투자율이다.) r r",13.9,21.9,33.9,41.9,4,text,
2,옳은 것은? ① ε ＞ ε 인 경우 반발력이 작용한다.,,,,,3,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q002.png
3,"5.0(A), Z = 1.0Ω 일 때 부하(Z , Z , Z ) 전체에 대한 복",,,,,3,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q003.png
4,"평행 극판 사이에 유전율이 각각 ε , ε 인 유전체를 그림과",,,,,2,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q004.png
5,정전용량이 20μF인 공기의 평행판 커패시터에 0.1C의 전하 량을 충전하였다. 두 평행판 사이에 비유전율이 10인 유전체 를 채웠을 때 유전체 표면에 나타나는 분극 전하량(C)은?,0.009,0.01,0.09,0.1,3,text,
6,유전율이 ε 과 ε 인 두 유전체가 경계를 이루어 평행하게 접,,,,,1,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q006.png
7,"단면적이 균일한 환상철심에 권수 100회인 A코일과 권수 400회인 B코일이 있을 때 A코일의 자기 인덕턴스가 4H라면 두 코일의 상호 인덕턴스는 몇 H 인가? (단, 누설자속은 0 이다)",4,8,12,16,4,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q007.png
8,"평균 자로의 길이가 10cm, 평균 단면적이 2cm2인 환상 솔레 노이드의 자기 인덕턴스를 5.4mH 정도로 하고자 한다. 이때 필요한 코일의 권선수는 약 몇 회인가? (단, 철심의 비투자율 은 15000 이다)",6,12,24,29,2,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q008.png
9,"투자율이 μ(H/m), 단면적이 S(m2), 길이가 l(m)인 자성체에 권선을 N회 감아서 I(A)의 전류를 흘렸을 때 이 자성체의 단 면적 S(m2)를 통과하는 자속(Wb)은?",,,,,4,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q009.png
10,"그림은 커패시터의 유전체 내에 흐르는 변위전류를 보여준 다. 커패시터의 전극 면적을 S(m2), 전극에 축적된 전하를 q(C), 전극의 표면전하 밀도를 σ(C/m2), 전극 사이의 전속 밀도를 D(C/m2)라 하면 변위전류밀도 i (A/m2)는? d",,,,,1,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q010.png
11,"진공 중에서 점(1, 3)m의 위치에 -2×10-9C의 점전하가 있 을 때 점(2, 1)m에 있는 1C의 점전하에 작용하는 힘은 몇 N 인가? (단, 는 단위벡터이다.)",전기기사 2022년 04월 24일 필기 기출문제,,,,1,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q011.png
12,정전용량이 C (μF)인 평행판의 공기 커패시터가 있다. 두,,,,,3,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q012.png
13,그림과 같이 점 O를 중심으로 반지름이 a(m)인 구도체 1과 안쪽 반지름이 b(m)이고 바깥쪽 반지름이 C(m)인 구도체 2 가 있다. 이 도체계에서 전위계수 P (1/F)에 해당하는 것,,,,,4,image,C:\전기CBT\out_img\전기기사20220424(교사용)_p09_q013.png
14,자계의 세기를 나타내는 단위가 아닌 것은?,A/m,N/Wb,(HㆍA)/m2,Wb/(Hㆍm),3,text,
