번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"어떤 환상 솔레노이드의 단면적이 S이고, 자로의 길이가 ℓ, 투자율이 μ라고 한다. 이 철심에 균등하게 코일을 N회 감고 전류를 흘렸을 때 자기 인덕턴스에 대한 설명으로 옳은 것 은?",투자율 μ에 반비례한다.,권선수 N2에 비례한다.,자로의 길이 ℓ에 비례한다.,단면적 S에 반비례한다.,2,text,
2,"상이한 매질의 경계면에서 전자파가 만족해야 할 조건이 아 닌 것은? (단, 경계면은 두 개의 무손실 매질 사이이다.)",경계면의 양측에서 전계의 접선성분은 서로 같다.,경계면의 양측에서 자계의 접선성분은 서로 같다.,경계면의 양측에서 자속밀도의 접선성분은 서로 같다.,경계면의 양측에서 전속밀도의 법선성분은 서로 같다.,3,text,
3,"유전율이 ε, 도전율이 σ, 반경이 r , r (r ＜ r ) 길이가 l인",,,,,3,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q003.png
4,"단면적 S, 길이 l, 투자율 μ인 자성체의 자기회로에 권선을 N 회 감아서 I의 전류를 흐르게 할 때 자속은?",,,,,4,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q004.png
5,"30V/m의 전계내의 80V 되는 점에서 1C의 전하를 전계 방향 으로 80cm 이동한 경우, 그 점의 전위(V)는?",9,24,30,56,4,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q005.png
6,도전율 σ인 도체에서 전장 E에 의해 전류밀도 J가 흘렀을 때 이 도체에서 소비되는 전력을 표시한 식은?,,,,,1,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q006.png
7,"자극의 세기가 8×10-6Wb, 길이가 3cm인 막대자석을 120 AT/m의 평등자계 내에 자력선과 30°의 각도로 놓으면 이 막 대자석이 받는 회전력은 몇 N ㆍ m인가?",1.44×10-4,1.44×10-5,3.02×10-4,3.02×10-5,2,text,
8,"정상전류계에서 옴의 법칙에 대한 미분형은? (단, i는 전류밀 도, k는 도전율, ρ는 고유저항, E는 전계의 세기이다.)",i = kE,i = E / k,i = ρE,i = -kE,1,text,
9,자기인덕턴스의 성질을 옳게 표현한 것은?,항상 0 이다.,항상 정(正)이다.,항상 부(負)이다.,유도되는 기전력에 따라 정(IE)도 되고 부(負)도 된다.,2,text,
10,4A전류가 흐르는 코일과 쇄교하는 자속수가 4Wb이다. 이 전류 회로에 축척되어 있는 자기 에너지(J)는?,4,2,8,16,3,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q010.png
11,진공 중에서 빛의 속도와 일치하는 전자파의 전파속도를 얻 기 위한 조건으로 옳은 것은?,"ε =0, μ =0","ε =1, μ =1 r r r r","ε =0, μ =1","ε =1, μ =0 r r r r",2,text,
12,"그림과 같이 평행한 무한장 직선도선에 I(A), 4I(A)인 전류가 흐른다. 두 선 사이의 점 P에서 자계의 세기가 0이라고 하 면 a/b 는?",2,4,1/2,1/4,4,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q012.png
13,자기회로와 전기회로의 대응으로 틀린 것은?,자속 ↔ 전류,기자력 ↔ 기전력,투자율 ↔ 유전율,자계의 세기 ↔ 전계의 세기,3,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q013.png
14,자속밀도가 0.3 Wb/m2 인 평등자계 내에 5A의 전류가 흐 르는 길이 2m인 직선도체가 있다 이 도체를 자계 방향에 대하여 60°의 각도로 놓았을 때 이 도체가 받는 힘은 약 몇 N 인가?,1.3,2.6,4.7,5.7,2,image,C:\전기CBT\out_img\전기기사20190427(교사용)_p08_q014.png
