번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"반지름이 a[m]이고, 단위 길이에 대한 권수가 n인 무한장 솔 레노이드의 단위 길이당 자기인덕턴스는 몇H/m 인가?",,,,,1,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q001.png
2,1 기회로이다. 자속밀도를 B[Wb/m2]로 하기 위한 기자력[AT] 은?,,,,,4,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q002.png
3,비투자율 ㎲는 역자성체에서 다음 어느 값을 갖는가?,㎲ = 0,㎲ <1,㎲ >1,㎲ = 1,2,text,
4,"도전율 σ, 투자율 μ인 도체에 교류 전류가 흐를 때 표피 효 과의 영향에 대한 설명으로 옳은 것은?",σ가 클수록 작아진다.,μ가 클수록 작아진다.,μ 가 클수록 작아진다.,주파수가 높을수록 커진다. s,4,text,
5,자계와 전류계의 대응으로 틀린 것은?,자속 ↔ 전류,기자력 ↔ 기전력,투자율 ↔ 유전율,자계의 세기 ↔ 전계의 세기,3,text,
6,"다음의 관계식 중 성립할 수 없는 것은? (단, μ는 투자율, μ",,,,,2,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q006.png
7,"베이클라이트 중의 전속밀도가 D[C/m2] 일때의 분극의 세기 는몇 C/m2인가? (단, 베이클라이트의 비유전율은 이다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q007.png
8,"철심부의 평균 길이가 l , 공극의 길이가 l , 단면적이 S인 자",,,,,4,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q008.png
9,자성체의 자화의 세기 J=8kA/m 자화율 xm=0.02일 때 자속 밀도는 약 몇 T인가?,7000,7500,8000,8500,3,text,
10,진공중의 자계 10AT/m인 점에 5×10-3Wb의 자극을 놓으면 그 자극에 작용하는 힘[N]은?,5×10-2,5×10-3,2.5×10-2,2.5×10-3,1,text,
11,전계와 자계와의 관계에서 고유임피던스는?,,,,,2,image,C:\전기CBT\out_img\전기기사20160821(교사용)_p08_q011.png
12,자성체 3×4×20[cm3]가 자속밀도 B=130mT로 자화되었을 때 자기모멘트가 48[Am2]이었다면 자화의 세기(M)는 몇 [A/m]인가?,104,105,2×104,2×105,4,text,
