번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,서로 같은 2개의 구 도체에 동일양의 전하로 대전시킨 후 20 ㎝ 떨어뜨린 결과 구 도체에 서로 8.6 × 10-4N의 반발력이 작용하였다. 구 도체에 주어진 전하는 약 몇 C인가?,5.2 × 10-8,6.2 × 10-8,7.2 × 10-8,8.2 × 10-8,2,text,
2,1 2 1,,,,,3,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q002.png
3,영구자석 재료로 사용하기에 적합한 특성은?,잔류자기와 보자력이 모두 큰 것이 적합하다.,잔류자기는 크고 보자력은 작은 것이 적합하다.,잔류자기는 작고 보자력은 큰 것이 적합하다.,잔류자기와 보자력이 모두 작은 것이 적합하다.,1,text,
4,자기회로와 전기회로에 대한 설명으로 틀린 것은?,자기저항의 역수를 컨덕턴스라고 한다.,자기회로의 투자율은 전기회로의 도전율에 대응된다.,전기회로의 전류는 자기회로의 자속에 대응된다.,자기저항의 단위는 AT/Wb 이다.,1,text,
5,저항의 크기가 1 Ω인 전선이 있다. 전선의 체적을 동일하게 유지하면서 길이를 2배로 늘였을 때 전선의 저항(Ω)은?,0.5,1,2,4,4,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q005.png
6,자속밀도가 10 ㏝/m2 인 자계 내에 길이 4㎝의 도체를 자계 와 직각으로 놓고 이 도체를 0.4초 동안 1 m씩 균일하게 이 동하였을 때 발생하는 기전력은 몇 V인가?,1,2,3,4,1,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q006.png
7,진공 중에서 전자파의 전파속도 (m/s)는?,,,,,1,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q007.png
8,"유전율이 ε , ε 인 유전체 경계면에 수직으로 전계가 작용할",,,,,4,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q008.png
9,"반지름이 3㎝인 원형 단면을 가지고 있는 환상 연철심에 코 일을 감고 여기에 전류를 흘려서 철심 중의 자계 세기가 400 AT/m가 되도록 여자할 때, 철심 중의 자속 밀도는 약 몇 ㏝ /m2인가? (단, 철심의 비투자율은 400이라고 한다.)",0.2,0.8,1.6,2.0,1,text,
10,"내부 원통의 반지름이 a, 외부 원통의 반지름이 b 인동축 원통 콘덴서의 내외 원통 사이에 공기를 넣었을 때 정전용 량이 C 이었다. 내외 반지름을 모두 3배로 증가시키고 공",,,,,3,image,C:\전기CBT\out_img\전기기사20200926(교사용)_p08_q010.png
