번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,반자성체의 비투자율(μ ) 값의 범위는? r,μ ＝1,μ ＜1 r r,μ ＞1,μ ＝0 r r,2,text,
2,자기회로에서 자기저항의 크기에 대한 설명으로 옳은 것은?,자기회로의 길이에 비례,자기회로의 단면적에 비례,자성체의 비투자율에 비례,자성체의 비투자율의 제곱에 비례,1,text,
3,자기 인덕턴스와 상호 인덕턴스와의 관계에서 결합계수 k의 범위는?,0 ≤ k ≤ 1/2,0 ≤ k ≤ 1,1 ≤ k ≤ 2,1 ≤ k ≤ 10,2,text,
4,"전위함수 V＝x2＋y2(V)일 때 점 (3, 4)(m)에서의 등전위선의 반지름은 몇 m이며, 전기력선 방정식은 어떻게 되는가?","등전위선의 반지름 : 3, 전기력선 방정식 :","등전위선의 반지름 : 4, 전기력선 방정식 :","등전위선의 반지름 : 5, 전기력선 방정식 :","등전위선의 반지름 : 5, 전기력선 방정식 :",4,text,
5,공기 중에 있는 무한히 긴 직선 도선에 10 A의 전류가 흐르 고 있을 때 도선으로부터 2m 떨어진 점에서의 자속밀도는 몇 Wb/m2인가?,10-5,0.5×10-6,10-6,2×10-6,3,text,
6,정전계 해석에 관한 설명으로 틀린 것은?,포아송 방정식은 가우스 정리의 미분형으로 구할 수 있 다.,도체 표면에서의 전계의 세기는 표면에 대해 법선 방향을 갖는다.,라플라스 방정식은 전극이나 도체의 형태에 관계없이 체 적 전하밀도가 0인 모든 점에서 ∇2V＝0을 만족한다.,라플라스 방정식은 비선형 방정식이다.,4,text,
7,10mm의 지름을 가진 동선에 50A의 전류가 흐르고 있을 때 단위시간 동안 동선의 단면을 통과하는 전자의 수는 약 몇 개인가?,7.85×1016,20.45×1015,31.21×1019,50×1019,3,text,
8,"유전율이 ε , ε (F/m)인 유전체 경계면에 단위 면적당 작용하",,,,,4,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q008.png
9,반지름 r(m)인 무한장(원통형) 도체에 전류가 균일하게 흐를 때 도체 내부에서 자계의 세기(AT/m)는?,원통 중심축으로부터 거리에 비례한다.,원통 중심축으로부터 거리에 반비례한다.,원통 중심축으로부터 거리의 제곱에 비례한다.,원통 중심축으로부터 거리의 제곱에 반비례한다.,1,text,
10,"전계 및 자계의 세기가 각각 E(V/m), H(AT/m)일 때, 포인 팅 벡터 P(W/m2)의 표현으로 옳은 것은?",P＝1/2E×H,P＝E rot H,P＝E×H,P＝H rot E,3,text,
11,"그림과 같이 내부 도체구 A에 ＋Q(C), 외부 도체구 B에 – Q(C)를 부여한 동심 도체구 사이의 정전용량 C(F)는? ① 4πε ②",,,,,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q011.png
12,비유전율 ε 이 4인 유전체의 분극률은 진공의 유전율의 몇 r 배인가?,1,3,9,12,2,image,C:\전기CBT\out_img\전기기사20200606(교사용)_p08_q012.png
