번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,점전하에 의한 전위 함수가 일 때 gradV는?,,,,,2,image,C:\전기CBT\out_img\전기기사20170826(교사용)_p08_q001.png
2,"면적 S[m2], 간격 d[m]인 평행판 콘덴서에 전하 Q[C]를 충전 하였을 때 정전 에너지 w[J]는?",,,,,2,image,C:\전기CBT\out_img\전기기사20170826(교사용)_p08_q002.png
3,Poisson 및 Laplace 방정식을 유도하는데 관련이 없는 식 은?,,E=-gradV,divD=ρ,D=ɛE v,1,text,
4,"반지름 1cm인 원형코일에 전류 10A가 흐를 때, 코일의 중 심에서 코일면에 수직으로 √3cm 떨어진 점의 자계의 세기 는 몇 AT/m 인가?",,,,,1,image,C:\전기CBT\out_img\전기기사20170826(교사용)_p08_q004.png
5,평등자계 내에 전자가 수직으로 입사하였을 때 전자의 운동 을 바르게 나타낸 것은?,구심력은 전자속도에 반비례 한다.,원심력은 자계의 세기에 반비례 한다.,원운동을 하고 반지름은 자계의 세기에 비례한다.,원운동을 하고 반지름은 전자의 회전속도에 비례한다.,4,text,
6,"액체 유전체를 포함한 콘덴서 용량이 C[F]인 것에 V[V]의 전압을 가했을 경우에 흐르는 누설전류[A]는? (단, 유전체 의 유전율은 ɛ[F/m], 고유저항은 ρ[Ω • m]이다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20170826(교사용)_p08_q006.png
7,다이아몬드와 같은 단결정 물체에 전장을 가할 때 유도되는 분극은?,전자 분극,이온 분극과 배향 분극,전자 분극과 이온 분극,"전자 분극, 이온 분극, 배향 분극",1,text,
8,다음 설명 중 옳은 것은?,무한 직선 도선에 흐르는 전류에 의한 도선 내부에서 자 계의 크기는 도선의 반경에 비례한다.,무한 직선 도선에 흐르는 전류에 의한 도선 외부에서 자 계의 크기는 도선의 중심과의 거리에 무관하다.,무한장 솔레노이드 내부 자계의 크기는 코일에 흐르는 전류의 크기에 비례한다.,무한장 솔레노이드 내부 자계의 크기는 단위 길이당 권 수의 제곱에 비례한다.,3,text,
9,그림과 같은 유전속 분포가 이루어질 때 ɛ 과 ɛ 의 크기 관,,,,,1,image,C:\전기CBT\out_img\전기기사20170826(교사용)_p08_q009.png
10,인덕턴스의 단위[H]와 같지 않은 것은?,J/A • s,Ω • s,Wb/A,J/A2,1,text,
