번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"면적이 0.02m2, 간격이 0.03m이고, 공기로 채워진 평행평판 의 커패시터에 1.0×10-6C의 전하를 충전시킬 때, 두 판 사이 에 작용하는 힘의 크기는 약 몇 N 인가?",1.13,1.41,1.89,2.83,4,text,
2,2 크 τ의 관계로 옳은 것은?,,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q002.png
3,유전율이 ε = 2ε 이고 투자율이 μ 인 비도전성 유전체에서,,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q003.png
4,자기회로에서 전기회로의 도전율 σ(℧/m)에 대응되는 것은?,자속,기자력,투자율,자기저항,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q004.png
5,"단면적이 균일한 환상철심에 권수 1000회인 A코일과 권수 N 회인 B 코일이 감겨져 있다. A코일의 자기 인덕턴스가 B 100mH이고, 두 코일 사이의 상호 인덕턴스가 20mH이고, 결 합계수가 1일 때, B코일의 권수(N )는 몇 회인가? B",100,200,300,400,2,text,
6,공기 중에서 1V/m의 전계의 세기에 의한 변위전류밀도의 크 기를 2A/m2으로 흐르게 하려면 전계의 주파수는 몇 MHz 가 되어야 하는가?,9000,18000,36000,72000,3,text,
7,"내부 원통 도체의 반지름이 a(m), 외부 원통 도체의 반지름 이 b(m)인 동축 원통 도체에서 내외 도체 간 물질의 도전율 이 σ(℧/m)일 때 내외 도체 간의 단위 길이당 컨덕턴스(℧ /m)는?",,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q007.png
8,"z축 상에 놓인 길이가 긴 직선 도체에 10A의 전류가 +z 방 향으로 흐르고 있다. 이 도체의 주위의 자속밀도가 Wb/m2 일 때 도체가 받는 단위 길이당 힘 (N/m)은? (단, 는 단위벡터이다.)",,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q008.png
9,"진공 중 한 변의 길이가 0.1m인 정삼각형의 3정점 A, B, C 에 각각 2.0×10-6C의 점전하가 있을 때, 점 A의 전하에 작 용하는 힘은 몇 N 인가?",1.8√2,1.8√3,3.6√2,3.6√3,4,text,
10,"투자율이 μ(H/m), 자계의 세기가 H(AT/m), 자속밀도가 B(Wb/m2)인 곳에서의 자계 에너지 밀도(J/m3)는?",,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q010.png
11,"진공 내 전위함수가 V = x2 + y2(V)로 주어졌을 때, 0≤x≤ 1, 0≤y≤1, 0≤z≤1인 공간에 저장되는 정전에너지(J)는?",,,,,1,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q011.png
12,전계가 유리에서 공기로 입사할 때 입사각 θ 과 굴절각 θ,,,,,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q012.png
13,"진공 중에 4m 간격으로 평행한 두 개의 무한 평판 도체에 각각 +4 C/m2, -4 C/m2의 전하를 주었을 때, 두 도체 간의 전위차는 약 몇 V 인가?",1.36×1011,1.36×1012,1.8×1011,1.8×1012,4,text,
14,인덕턴스(H)의 단위를 나타낸 것으로 틀린 것은?,Ω•s,Wb/A,J/A2,N/(A•m),4,text,
15,진공 중 반지름이 a(m)인 무한길이의 원통 도체 2개가 간격 d(m)로 평행하게 배치되어 있다. 두 도체 사이의 정전용량 (C)을 나타낸 것으로 옳은 것은? 전기기사 2022년 03월 05일 필기 기출문제,,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q015.png
16,진공 중에 4m의 간격으로 놓여진 평행 도선에 같은 크기의 왕복 전류가 흐를 때 단위 길이당 2.0×10-7N의 힘이 작용 하였다. 이때 평행 도선에 흐르는 전류는 몇 A 인가?,1,2,4,8,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q016.png
17,평행 극판 사이의 간격이 d(m)이고 정전용량이 0.3μF인 공 기 커패시터가 있다. 그림과 같이 두 극판 사이에 비유전율 이 5인 유전체를 절반 두께 만큼 넣었을 때 이 커패시터의 정전용량은 몇 μF 이 되는가?,0.01,0.05,0.1,0.5,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q017.png
18,"반지름이 a(m)인 접지된 구도체와 구도체의 중심에서 거리 d(m) 떨어진 곳에 점전하게 존재할 때, 점전하에 의한 접지 된 구도체에서의 영상전하에 대한 설명으로 틀린 것은?",영상전하는 구도체 내부에 존재한다.,영상전하는 점전하와 구도체 중심을 이은 직선상에 존재 한다.,영상전하의 전하량과 점전하의 전하량은 크기는 같고 부 호는 반대이다.,영상전하의 위치는 구도체의 중심과 점전하 사이 거리 (d(m))와 구도체의 반지름(a(m))에 의해 결정된다.,3,text,
19,평등 전계 중에 유전체 구에 의한 전계 분포가 그림과 같이 되었을 때 ε 과 ε 의 크기 관계는?(문제 오류로 가답안 발표,,,,,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q019.png
20,어떤 도체에 교류 전류가 흐를 때 도체에서 나타나는 표피 효과에 대한 설명으로 틀린 것은?,도체 중심부보다 도체 표면부에 더 많은 전류가 흐르는 것을 표피 효과라 한다.,전류의 주파수가 높을수록 표피 효과는 작아진다.,도체의 도전율이 클수록 표피 효과는 커진다.,도체의 투자율이 클수록 표피 효과는 커진다. 2과목 : 전력공학,2,text,
21,소호리액터를 송전계통에 사용하면 리액터의 인덕턴스와 선 로의 정전용량이 어떤 상태로 되어 지락전류를 소멸시키는 가?,병렬공진,직렬공진,고임피던스,저임피던스,1,text,
22,어느 발전소에서 40000kWh를 발전하는데 발열량 5000㎉/ ㎏의 석탄을 20톤 사용하였다. 이 화력발전소의 열효율(%) 은 약 얼마인가?,27.5,30.4,34.4,38.5,3,text,
23,"송전전력, 선간전압, 부하역률, 전력손실 및 송전거리를 동 일하게 하였을 경우 단상 2선식에 대한 3상 3선식의 총 전 선량(중량)비는 얼마인가? (단, 전선은 동일한 전선이다.)",0.75,0.94,1.15,1.33,1,text,
24,3상 송전선로가 선간단락(2선 단락)이 되었을 때 나타나는 현상으로 옳은 것은?,역상전류만 흐른다.,정상전류와 역상전류가 흐른다.,역상전류와 영상전류가 흐른다.,정상전류와 영상전류가 흐른다.,2,text,
25,"중거리 송전선로의 4단자 정수가 A = 1.0, B = j190, D = 1.0 일 때 C의 값은 얼마인가?",0,-j120,j,j190,1,text,
26,배전전압을 √2배로 하였을 때 같은 손실률로 보낼 수 있는 전력은 몇 배가 되는가?,√2,√3,2,3,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q026.png
27,다음 중 재점호가 가장 일어나기 쉬운 차단전류는?,동상전류,지상전류,진상전류,단락전류,3,text,
28,현수애자에 대한 설명이 아닌 것은?,애자를 연결하는 방법에 따라 클레비스(Clevis)형과 볼 소켓형이 있다.,애자를 표시하는 기호는 P이며 구조는 2~5층의 갓 모양 의 자기편을 시멘트로 접착하고 그 자기를 주철재 base 전기기사 2022년 03월 05일 필기 기출문제 로 지지한다.,애자의 연결개수를 가감함으로써 임의의 송전전압에 사 용할 수 있다.,큰 하중에 대하여는 2련 또는 3련으로 하여 사용할 수 있다.,2,text,
29,교류발전기의 전압조정 장치로 속응 여자방식을 채택하는 이유로 틀린 것은?,전력계통에 고장이 발생할 때 발전기의 동기화력을 증가 시킨다.,송전계통의 안정도를 높인다.,여자기의 전압 상승률을 크게 한다.,전압조정용 탭의 수동변환을 원활히 하기 위함이다.,4,text,
30,차단기의 정격차단시간에 대한 설명으로 옳은 것은?,고장 발생부터 소호까지의 시간,트립코일 여자로부터 소호까지의 시간,가동 접촉자의 개극부터 소호까지의 시간,가동 접촉자의 동작 시간부터 소호까지의 시간,2,text,
31,"3상 1회선 송전선을 정삼각형으로 배치한 3상 선로의 자기 인덕턴스를 구하는 식은? (단, D는 전선의 선간거리(m), r은 전선의 반지름(m)이다.)",,,,,3,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q031.png
32,불평형 부하에서 역률(%)은?,,,,,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q032.png
33,다음 중 동작속도가 가장 느린 계전 방식은?,전류 차동 보호 계전 방식,거리 보호 계전 방식,전류 위상 비교 보호 계전 방식,방향 비교 보호 계전 방식,2,text,
34,부하회로에서 공진 현상으로 발생하는 고조파 장해가 있을 경우 공진 현상을 회피하기 위하여 설치하는 것은?,진상용 콘덴서,직렬 리액터,방전코일,진공 차단기,2,text,
35,"경간이 200m인 가공 전선로가 있다. 사용전선의 길이는 경 간보다 몇 m 더 길게 하면 되는가? (단, 사용전선의 1m 당 무게는 2㎏, 인장하중은 4000㎏, 전선의 안전율은 2로 하고 풍압하중은 무시한다.)",1/2,√2,1/3,√3,3,text,
36,"송전단 전압이 100V, 수전단 전압이 90V인 단거리 배전선 로의 전압강하율(%)은 약 얼마인가?",5,11,15,20,2,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q036.png
37,다음 중 환상(루프) 방식과 비교할 때 방사상 배전선로 구성 방식에 해당되는 사항은?,전력 수요 증가 시 간선이나 분기선을 연장하여 쉽게 공 급이 가능하다.,전압 변동 및 전력손실이 작다.,사고 발생 시 다른 간선으로의 전환이 쉽다.,환상방식 보다 신뢰도가 높은 방식이다.,1,text,
38,초호각(Arcing horn)의 역할은?,풍압을 조절한다.,송전 효율을 높인다.,선로의 섬락 시 애자의 파손을 방지한다.,고주파수의 섬락전압을 높인다.,3,text,
39,"유효낙차 90m, 출력 104500㎾, 비속도(특유속도) 210m·㎾ 인 수차의 회전속도는 약 몇 rpm인가?",150,180,210,240,2,text,
40,발전기 또는 주변압기의 내부고장 보호용으로 가장 널리 쓰 이는 것은?,거리 계전기,과전류 계전기,비율차동 계전기,방향단락 계전기 3과목 : 전기기기,3,text,
41,"SCR을 이용한 단상 전파 위상제어 정류회로에서 전원전압 은 실효값이 220V, 60㎐인 정현파이며, 부하는 순 저항으로 10Ω이다. SCR의 점호각 a를 60°라 할 때 출력전류의 평균 값(A)은?",7.54,9.73,11.43,14.86,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q041.png
42,직류발전기가 90% 부하에서 최대효율이 된다면 이 발전기 의 전부하에 있어서 고정손과 부하손의 비는?,0.81,0.9,1.0,1.1,1,text,
43,"정류기의 직류측 평균전압이 2000V이고 리플률이 3%일 경 전기기사 2022년 03월 05일 필기 기출문제 우, 리플전압의 실효값(V)은?",20,30,50,60,4,image,C:\전기CBT\out_img\전기기사20220305(교사용)_p09_q043.png
44,단상 직권 정류자전동기에서 보상권선과 저항도선의 작용에 대한 설명으로 틀린 것은?,보상권선은 역률을 좋게 한다.,보상권선은 변압기의 기전력을 크게 한다.,보상권선은 전기자 반작용을 제거해준다.,저항도선은 변압기 기전력에 의한 단락 전류를 작게 한 다.,2,text,
