번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"평행판 콘덴서에 어떤 유전체를 넣었을 때 전속밀도가 2.4 × 10-7C/m2이고, 단위 체적중의 에너지가 5.3 × 10-3J/m3이었 다. 이 유전체의 유전율은 약 몇 F/m인가?",2.17 × 10-11,5.43 × 10-11,5.17 × 10-12,5.43 × 10-12,4,text,
2,서로 다른 두 유전체사이의 경계면에 전하분포에 없다면 경 계면 양쪽에서의 전계 및 전속밀도는?,전계 및 전속밀도의 접선성분은 서로 같다.,전계 및 전속밀도의 법선성분은 서로 같다.,"전계의 법선성분이 서로 같고, 전속밀도의 접선성분이 서 로 같다.","전계의 접선성분이 서로 같고, 전속밀도의 법선성분이 서 로 같다.",4,text,
3,"와류손에 대한 설명으로 틀린 것은? (단, f : 주파수, B : 최 m 대자속밀도, t : 두께, ρ : 저항률이다.)",t2 에 비례한다.,f2 에 비례한다.,ρ2 에 비례한다.,B2 에 비례한다. m,3,text,
4,"x ＞ 0인 영역에 비유전율 ε =3인 유전체, x ＜ 0인 영역에 r1 비유전율 ε =5인 유전체가 있다. x ＜ 0 인 영역에서 전계 r2 E = 20a + 30a -40a V/m일 때 x ＞ 0 인 영역에서의 전",,,,,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q004.png
5,"q(C)의 전하가 진공 중에서 v(m/s)의 속도로 운동하고 있을 때, 이 운동방향과 θ의 각으로 r(m) 떨어진 점의 자계의 세 기(AT/m)는?",,,,,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q005.png
6,"원형 선전류 I(A)의 중심축상 점 P의 자위(A)를 나타내는 식 은? (단, θ는 점 P에서 원형전류를 바라보는 평면각이다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q006.png
7,진공 중에서 무한장 직선도체에 선전하밀도 ρ =2π × L 10-3C/m가 균일하게 분포된 경우 직선도체에서 2m와 4m떨 어진 두 점사이의 전위차는 몇 V 인가?,,,,,2,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q007.png
8,균일한 자장 내에 놓여 있는 직선도선에 전류 및 길이를 각 각 2배로 하면 이 도선에 작용하는 힘은 몇 배가 되는가?,1,2,4,8,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q008.png
9,"환상철심에 권수 3000회 A코일과 권수 200회 B코일이 감겨 져 있다. A코일의 자기인덕턴스가 360mH일 때 A, B 두 코 일의 상호 인덕턴스는 몇 mH 인가? (단, 결합계수는 1이다.)",16,24,36,72,2,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q009.png
10,맥스웰방정식 중 틀린 것은?,,,,,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q010.png
11,자기회로의 자기저항에 대한 설명으로 옳은 것은?,투자율에 반비례한다.,자기회로의 단면적에 비례한다.,자기회로의 길이에 반비례한다.,"단면적에 반비례하고, 길이의 제곱에 비례한다.",1,text,
12,접지된 구도체와 점전하 간에 작용하는 힘은?,항상 흡인력이다.,항상 반발력이다.,조건적 흡인력이다.,조건적 반발력이다.,1,text,
13,그림과 같이 전류가 흐르는 반원형 도선이 평면 Z=0 상에 놓여 있다. 이 도선이 자속밀도 B = 0.6a - 0.5a + x y a (Wb/m2)인 균일 자계 내에 놓여 있을 때 도선의 직선 부 z 분에 작용하는 힘(N)은?,4a + 2.4a,4a - 2.4a x z x z 전기기사 2019년 03월 03일 필기 기출문제,5a - 3.5a,-5a + 3.5a x z x z,2,text,
14,"평행한 두 도선간의 전자력은? (단, 두 도선간의 거리는 r(m)라 한다.)",r에 비례,r2에 비례,r에 반비례,r2에 반비례,3,text,
15,"다음의 관계식 중 성립할 수 없는 것은? (단, μ는 투자율, 는 자화율, μ 는 진공의 투자율, J는 자화의 세기이다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q015.png
16,"평행판 콘덴서의 극판 사이에 유전율 ε, 저항률 ρ인 유전체 를 삽입하였을 때, 두 전극간의 저항 R과 정전용량 C의 관 계는?",R = ρεC,RC = ε / ρ,RC = ρε,RCρε = 1,3,text,
17,"비투자율 μ =1, 비유전율 ε =90인 매질 내의 고유임피던스 s s 는 약 몇 Ω 인가?",32.5,39.7,42.3,45.6,2,text,
18,"사이클로트론에서 양자가 매초 3×1015 개의 비율로 가속되 어 나오고 있다. 양자가 15MeV의 에너지를 가지고 있다고 할 때, 이 사이클로트론은 가속용 고주파 전계를 만들기 위 해서 150kW의 전력을 필요로 한다면 에너지 효율(%)은?",2.8,3.8,4.8,5.8,3,text,
19,단면적 4cm2의 철심에 6×10-4Wb의 자속을 통하게 하려면 2800AT/m의 자계가 필요하다. 이 철심의 비투자율은 약 얼 마인가?,346,375,407,426,4,text,
20,대전된 도체의 특징으로 틀린 것은?,가우스정리에 의해 내부에는 전하가 존재한다.,전계는 도체 표면에 수직인 방향으로 진행된다.,도체에 인가된 전하는 도체 표면에만 분포한다.,도체 표면에서의 전하밀도는 곡률이 클수록 높다. 2과목 : 전력공학,1,text,
21,송배전 선로에서 도체의 굵기는 같게 하고 도체간의 간격을 크게 하면 도체의 인덕턴스는?,커진다.,작아진다.,변함이 없다.,도체의 굵기 및 도체간의 간격과는 무관하다.,1,text,
22,"동일전력을 동일 선간전압, 동일역률로 동일거리에 보낼 때 사용하는 전선의 총중량이 같으면 3상 3선식인 때와 단상 2 선식일 때는 전력손실비는?",1,3/4,2/3,1/√3,2,text,
23,배전반에 접속되어 운전 중인 계기용 변압기(PT) 및 변류기 (CT)의 2차측 회로를 점검할 때 조치사항으로 옳은 것은?,CT만 단락시킨다.,PT만 단락시킨다.,CT와 PT 모두를 단락시킨다.,CT와 PT 모두를 개방시킨다.,1,text,
24,배전선로의 역률 개선에 따른 효과로 적합하지 않은 것은?,선로의 전력손실 경감,선로의 전압강하의 감소,전원측 설비의 이용률 향상,선로 절연의 비용 절감,4,text,
25,"총 낙차 300m, 사용수량 20m3/s인 수력발전소의 발전기출 력은 약 몇 kW 인가? (단, 수차 및 발전기효율은 각각 90%, 98%라하고, 손실낙차는 총 낙차의 6%라고 한다.)",48750,51860,54170,54970,1,text,
26,"수전단을 단락한 경우 송전단에서 본 임퍼던스가 330Ω이 고, 수전단을 개방한 경우 송전단에서 본 어드미턴스가 1.875×10 ℧일 때 송전단의 특성임피던스는 약 몇 Ω인가? -3",120,220,320,420,4,text,
27,"다중접지 계통에 사용되는 재폐로 기능을 갖는 일종의 차단 기로서 과부하 또는 고장전류가 흐르면 순시동작하고, 일정 시간 후에는 자동적으로 재폐로 하는 보호기기는?",라인퓨즈,리클로저,섹셔널라이저,고장구간 자동개폐기,2,text,
28,"송전선 중간에 전원이 없을 경우에 송전단의 전압 E =AE +BI 이 된다. 수전단의 전압 E 의 식으로 옳은 것은? S R R R (단, I , I 는 송전단 및 수전단의 전류이다.) S R",E = AE + CI,E = BE + AI R S S R S S,E = DE - BI,E = CE - DI R S S R S S,3,text,
29,비접지식 3상 송배전계통에서 1선 지락고장 시 고장전류를 계산하는데 사용되는 정전용량은?,작용정전용량,대지정전용량,합성정전용량,선간정전용량,2,text,
30,비접지 계통의 지락사고 시 계전기에 영상전류를 공급하기 위하여 설치하는 기기는?,PT,CT,ZCT,GPT,3,text,
31,이상전압의 파고값을 저감시켜 전력사용설비를 보호하기 위 하여 설치하는 것은?,초호환,피뢰기,계전기,접지봉,2,text,
32,"임피던스 Z , Z 및 Z 을 그림과 같이 접속한 선로의 A쪽",,,,,3,image,C:\전기CBT\out_img\전기기사20190303(교사용)_p07_q032.png
33,저압뱅킹방식에서 저전압의 고장에 의하여 건전한 변압기의 일부 또는 전부가 차단되는 현상은?,아킹(Arcing),플리커(Flicker),밸런스(Balance),캐스케이딩(Cascading),4,text,
34,변전소의 가스차단기에 대한 설명으로 틀린 것은?,근거리 차단에 유리하지 못하다.,불연성이므로 화재의 위험성이 적다.,특고압 계통의 차단기로 많이 사용된다.,"이상전압의 발생이 적고, 절연회복이 우수하다.",1,text,
35,켈빈(Kelvin)의 법칙이 적용되는 경우는?,전압 강하를 감소시키고자 하는 경우,부하 배분의 균형을 얻고자 하는 경우,전력 손실량을 축소시키고자 하는 경우,경제적인 전선의 굵기를 선정하고자 하는 경우,4,text,
36,보호계전기의 반한시 ㆍ 정한시 특성은?,동작전류가 커질수록 동작시간이 짧게 되는 특성,최소 동작전류 이상의 전류가 흐르면 즉시 동작하는 특 성,동작전류의 크기에 관계없이 일정한 시간에 동작하는 특 성,"동작전류가 커질수록 동작시간이 짧아지며, 어떤 전류이 상이 되면 동작전류의 크기에 관계없이 일정한 시간에서 동작하는 특성",4,text,
37,단도체 방식과 비교할 때 복도체 방식의 특징이 아닌 것은?,안정도가 증가된다.,인덕턴스가 감소된다.,송전용량이 증가된다.,코로나 임계전압이 감소된다.,4,text,
38,1선 지락 시에 지락전류가 가장 작은 송전계통은?,비접지식,직접접지식,저항접지식,소호리액터접지식,4,text,
39,수차의 캐비테이션 방지책으로 틀린 것은?,흡출수두를 증대시킨다.,과부화 운전을 가능한 한 피한다.,수차의 비속도를 너무 크게 잡지 않는다.,침식에 강한 금속재료로 러너를 제작한다.,1,text,
40,"선간전압이 154kV이고, 1상당의 임피던스가 j8Ω인 기기가 있을 때, 기준용량을 100MVA로 하면 % 임피던스는 약 몇 %인가?",2.75,3.15,3.37,4.25 3과목 : 전기기기,3,text,
41,"3상 비돌극형 동기발전기가 있다. 정격출력 5000kVA, 정격 전압 6000V, 정격역률 0.8이다. 여자를 정격상태로 유지할 때 이 발전기의 최대출력은 약 몇 kW 인가? (단, 1상의 동 기리액턴스는 0.8P.U이며 저항은 무시한다.)",7500,10000,11500,12500,2,text,
42,직류기의 손실 중에서 기계손으로 옳은 것은?,풍손,와류손,표류 부하손,브러시의 전기손,1,text,
