번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"송전선의 전류가 0.01초 사이에 10[kA] 변화될 때 이 송전선 에 나란한 통신선에 유도되는 유도전압은 몇 [V]인가? 단, 송전선과 통신선 간의 상호유도계수는 0.3[mH]이다.",30,3×102,3×103,3×104,2,text,
2,"그 도선에 흐르는 전하 Q[C]는? 단, , C ,C 는 두 도체의",,,,,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q002.png
3,"극판간격 d[m], 면적 S[m2], 유전율θ [F/m]이고, 정전용량 이 C[F]인 평행판 콘덴서에 의 전압 을 가할 때의 변위전류[A]는?",,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q003.png
4,인덕턴스가 20[mH]인 코일에 흐르는 전류가 0.2초 동안에 2[A] 변화했다면 자기유도현상에 의해 코일에 유기되는 기전 력은 몇 [V]인가?,0.1,0.2,0.3,0.4,2,text,
5,한 변의 길이가 L[m]인 정삼각형 회로에 전류 I[A]가 흐르고 있을 때 삼각형 중심에서의 자계의 세기[AT/m]는?,,,,,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q005.png
6,변위전류밀도와 관계 없는 것은?,전계의 세기,유전율,자계의 세기,전속밀도,3,text,
7,벡터 가 원통좌표계로 주 어졌다. 점 에서의 ∇×A를 구하였다. 방향의 계수는?,2.5,-2.5,0.34,-0.34,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q007.png
8,대지면 높이 h[m]로 평행하게 가설된 매우 긴 선전하(선전하 밀도λ[C/m])가 지면으로부터 받는 힘[N/m]은?,h에 비례한다,h에 반비례한다.,h2에 비례한다.,h2에 반비례한다.,2,text,
9,"비투자율 800, 원형단면적 10[cm2], 평균자로의 길이 30 [㎝]인 환상철심에 600회의 권선을 감은 코일이 있다. 여기 에 1[A]의 전류가 흐르때 코일 내에 생기는 자속은 약 몇 [Wb]인가?",1×10-3,1×10-4,2×10-3,2×10-4,3,text,
10,"내부저항이 r[Ω]인 전지 M개를 병렬로 연결 했을 때, 전지 로부터 최대전력을 공급받기 위한 부하저항[Ω]은?",,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q010.png
11,"서로 멀리 떨어져 있는 두 도체를 각각 V [V], V [V](V ≻",,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q011.png
12,자속밀도가 10[Wb/m2]인 자계 내에 길이 4[㎝]의 도체를 자계와 직각으로 놓고 이 도체를 0.4초 동안 1[m]씩 균일 하게 이동하였을 때 발생하는 기전력은 몇 [V]인가?,1,2,3,4,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q012.png
13,반지름이 3[m]인 구에 공간전하밀도가 1[C/m3]가 분포되 어 있을 경우 구의 중심으로부터 1[m]인 곳의 전위는 몇 [V]인가?,,,,,2,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q013.png
14,한 변의 길이가 3[m]인 정삼각형의 회로에 2[A]의 전류가 흐를 때 정삼각형 중심에서의 자계의 크기는 몇 [AT/m]인 가?,,,,,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q014.png
15,전선을 균일하게 2배의 길이로 당겨 늘였을 때 전선의 체적 이 불변이라면 저항은 몇 배가 되는가?,2,4 전기기사 2016년 03월 06일 필기 기출문제,6,8,2,text,
16,"반지름 a[m]인 구대칭 전하에 의한 구내외의 전계의 세기 에 해당되는 것은? (문제 오류로 실제 시험에서는 1, 4번이 정답처리 되었습니다. 여기서는 1번을 누르면 정답 처리 됩 니다.)",,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q016.png
17,"무한히 넓은 평면 자성체의 앞 a[m] 거리의 경계면에 평행 하게 무한히 긴 직선 전류 I[A]가 흐를 때, 단위 길이당 작 용력은 몇 [N/m]인가?",,,,,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q017.png
18,전기 쌍극자에 관한 설명으로 틀린 것은?,전계의 세기는 거리의 세제곱에 반비례한다.,전계의 세기는 주위 매질에 따라 달라진다.,전계의 세기는 쌍극자모멘트에 비례한다.,쌍극자의 전위는 거리에 반비례한다.,4,text,
19,그림과 같이 공기 중에서 무한평면도체의 표면으로부터 2[m]인 곳에 점전하 4[C]이 있다. 전하가 받는 힘은 몇 [N]인가?,3×109,9×109,1.2×1010,3.6×1010,2,text,
20,"판 간격이 d인 평행판 공기콘덴서 중에 두께 t이고, 비유전 율이 E 인 유전체를 삽입하였을 경우에 공기의 절연파괴를 S 발생하지 않고 가할 수 있는 판 간의 전위차는? 단, 유전체 가 없을 때 가할 수 있는 전압을 V라 하고 공기의 절연내력 은 E 라 한다. O",,,,2과목 : 전력공학,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q020.png
21,150[kVA] 단상변압기 3대를 △-△ 결선으로 사용하다가 1 대의 고장으로 V-V결선하여 사용하면 약 몇 [kVA] 부하까 지 걸 수 있겠는가?,200,220,240,260,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q021.png
22,송전계통의 안정도를 증진시키는 방법이 아닌 것은?,전압변동를 적게 한다.,제동저항기를 설치한다.,직렬리액턴스를 크게 한다.,중간조상기방식을 채용한다.,3,text,
23,"연간 전력량이 E[kWh]이고, 연간 최대전력이 W[kW]인 연 부하율은 몇 [%]인가?",,,,,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q023.png
24,차단기의 정격차단시간은?,고장 발생부터 소호까지의 시간,가동접촉자 시동부터 소호까지의 시간,트립코일 여자부터 소호까지의 시간,가동접촉자 개구부터 소호까지의 시간,3,text,
25,3상 결선 변압기의 단상 운전에 의한 소손방지 목적으로 설 치하는 계전기는?,단락 계전기,결상 계전기,지락 계전기,과전압 계전기,2,text,
26,인터록(interlock)의 기능에 대한 설명으로 맞는 것은?,조작자의 의중에 따라 개폐되어야 한다.,차단기가 열려 있어야 단로기를 닫을 수 있다.,차단기가 닫혀 있어야 단로기를 닫을 수 있다.,"차단기와 단로기를 별도로 닫고, 열 수 있어야 한다.",2,text,
27,"그림과 같은 22[kV] 3상 3선식 전선로의 P점에 단락이 발 생하였다면 3상 단락전류는 약 몇 [A]인가? 단, %리액턴스 는 8[%]이며 저항분은 무시한다.",6561,8560,11364,12684,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q027.png
28,전력계통에서 내부 이상전압의 크기가 가장 큰 경우는?,유도성 소전류 차단시,수차발전기의 부하 차단시,무부하 선로 충전전류 차단시 전기기사 2016년 03월 06일 필기 기출문제,송전선로의 부하 차단기 투입시,3,text,
29,화력 발전소에서 재열기의 목적은?,급수예열,석탄건조,공기예열,증기가열,4,text,
30,"송전선로의 각 상전압이 평형되어 있을 때 3상 1회선 송전 선의 작용정전용량[㎌/km]을 옳게 나타낸 것은? 단, r은 도 체의 반지름[m] D는 도체의 등가선간거리[m]이다.",,,,,1,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q030.png
31,플리커 경감을 위한 전력 공급측의 방안이 아닌 것은?,공급전압을 낮춘다.,전용 변압기로 공급한다.,단독 공급 계통을 구성한다.,단락용량이 큰 계통에서 공급한다.,1,text,
32,"송전선로에서 송전전력, 거리, 전력손실율과 전선의 밀도가 일정하다고 할 때, 전선 단면적A[mm2]는 전압 V[V]와 어떤 관계에 있는가?",,,,,4,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q032.png
33,동기조상기에 관한 설명으로 틀린 것은?,동기전동기의 V특성을 이용하는 설비이다.,동기전동기를 부족여자로 하여 컨덕턴스로 사용한다.,동기전동기를 과여자로 하여 콘덴서로 사용한다.,송전계통의 전압을 일정하게 유지하기 위한 설비이다.,2,text,
34,비등수형 원자로의 특색이 아닌 것은?,열교환기가 필요하다.,기포에 의한 자기 제어성이 있다.,방사능 때문에 증기는 완전히 기수분리를 해야 한다.,순환펌프로서는 급수펌프뿐이므로 펌프동력이 작다.,1,text,
35,"그림과 같은 단거리 배전선로의 송전단 전압 6600[V], 역률 은 0.9이고, 수전단 전압 6100[V], 역률 0.8 일 때 회로에 흐르는 전류I[A]는? 단, E 및E 은 송ㆍ수전단 대지전압이 S r 며, r=20[Ω], x=10[Ω]이다.",20,35,53,65,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q035.png
36,피뢰기의 제한전압이란?,충격파의 방전개시전압,상용주파수의 방전개시전압,전류가 흐르고 있을 때의 단자전압,피뢰기 동작 중 단자전압의 파고값,4,text,
37,단락용량 5000[MVA]인 모선의 전압이 154[kV]라면 등가 모선임피던스는 약 몇 [Ω]인가?,2.54,4.74,6.34,8.24,2,text,
38,피뢰기가 그 역할을 잘 하기 위하여 구비되어야 할 조건으 로 틀린 것은?,속류를 차단할 것,내구력이 높을 것,충격방전 개시전압이 낮을 것,제한전압은 피뢰기의 정격전압과 같게 할 것,4,text,
39,저압배전선로에 대한 설명으로 틀린 것은?,저압 뱅킹 방식은 전압변동을 경감할 수 있다.,밸런서(balancer)는 단상 2선식에 필요하다.,배전선로의 부하율이 F일 때 손실계수는 F와 F2의 중간 값이다.,수용률이란 최대수용전력을 설비용량으로 나눈 값을 퍼 센트로 나타낸 것이다.,2,text,
40,"그림과 같은 전력계통의 154[kV] 송전선로에서 고장 지락 임피던스 를 통해서 1선 지락고장이 발생되었을 때 고장점에서 본 영상 %임피던스는? 단, 그림에 표시한 임피 던스는 모두 동일용량, 100[MVA] 기준으로 환산한 %임피 던스임",,,,3과목 : 전기기기,3,image,C:\전기CBT\out_img\전기기사20160306(교사용)_p08_q040.png
41,정전압 계통에 접속된 동기발전기의 여자를 약하게 하면? 전기기사 2016년 03월 06일 필기 기출문제,출력이 감소한다.,전압이 강하한다.,앞선 무효전류가 증가한다.,뒤진 무효전류가 증가한다.,3,text,
42,다이오드를 사용하는 정류회로에서 과대한 부하전류로 인하 여 다이오드가 소손될 우려가 있을 때 가장 적절한 조치는 어느 것인가?,다이오드를 병렬로 추가한다.,다이오드를 직렬로 추가한다.,다이오드 양단에 적당한 값의 저항을 추가한다.,다이오드 양단에 적당한 값의 콘덴서를 추가한다.,1,text,
43,직류 발전기의 외부 특성곡선에서 나타내는 관계로 옳은 것 은?,계자전류와 단자전압,계자전류와 부하전류,부하전류와 단자전압,부하전류와 유기기전력,3,text,
44,직류기의 전기자 반작용에 의한 영향이 아닌 것은?,자속이 감소하므로 유기기전력이 감소한다.,발전기의 경우 회전방향으로 기하학적 중성축이 형성된 다.,전동기의 경우 회전방향과 반대방향으로 기하학적 중성 축이 형성된다.,브러시에 의해 단락된 코일에는 기전력이 발생하므로 브 러시 사이의 유기기전력이 증가한다.,4,text,
